2023-07-04 20:01:24,514:INFO-main  Started
2023-07-04 20:01:54,035:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,037:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,040:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,042:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,044:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,046:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,047:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,049:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,051:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,053:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,054:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,056:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,057:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,058:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,060:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,062:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,063:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,065:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,070:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,072:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,073:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,076:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,078:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,080:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,082:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,088:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,090:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,092:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,094:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,096:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,098:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,100:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,102:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,104:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,106:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,108:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,109:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,113:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,114:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,116:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,117:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,119:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,121:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,123:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,125:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,127:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,129:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,131:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,132:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,171:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,179:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,182:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,184:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,186:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,188:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,190:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,197:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,199:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,202:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,206:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,207:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,209:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,211:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,212:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,214:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,216:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,217:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,220:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,221:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,224:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,225:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,227:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,229:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,231:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,232:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,234:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,274:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,281:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
2023-07-04 20:01:54,286:INFO-<string>  [COLOR_RED]Network error, continuing. Severity: Very low - []
